,temperature,p,alpha_plus,alpha_minus,seed,total_reward
440,0.01,0.1,0.0025,0.0075,41,7970
441,0.01,0.1,0.0025,0.0075,42,8066
442,0.01,0.1,0.0025,0.0075,43,7978
443,0.01,0.1,0.0025,0.0075,44,7826
444,0.01,0.1,0.0025,0.0075,45,7956
445,0.01,0.1,0.0025,0.0075,46,8122
446,0.01,0.1,0.0025,0.0075,47,8054
447,0.01,0.1,0.0025,0.0075,48,7968
448,0.01,0.1,0.0025,0.0075,49,7994
449,0.01,0.1,0.0025,0.0075,50,7942
450,0.01,0.1,0.0025,0.01,1,7954
451,0.01,0.1,0.0025,0.01,2,7950
452,0.01,0.1,0.0025,0.01,3,8034
453,0.01,0.1,0.0025,0.01,4,7916
454,0.01,0.1,0.0025,0.01,5,8074
455,0.01,0.1,0.0025,0.01,6,8004
456,0.01,0.1,0.0025,0.01,7,8030
457,0.01,0.1,0.0025,0.01,8,8036
458,0.01,0.1,0.0025,0.01,9,7988
459,0.01,0.1,0.0025,0.01,10,7988
460,0.01,0.1,0.0025,0.01,11,8014
461,0.01,0.1,0.0025,0.01,12,8036
462,0.01,0.1,0.0025,0.01,13,8030
463,0.01,0.1,0.0025,0.01,14,8100
464,0.01,0.1,0.0025,0.01,15,7976
465,0.01,0.1,0.0025,0.01,16,8018
466,0.01,0.1,0.0025,0.01,17,8046
467,0.01,0.1,0.0025,0.01,18,7954
468,0.01,0.1,0.0025,0.01,19,8044
469,0.01,0.1,0.0025,0.01,20,7924
470,0.01,0.1,0.0025,0.01,21,8024
471,0.01,0.1,0.0025,0.01,22,7912
472,0.01,0.1,0.0025,0.01,23,7950
473,0.01,0.1,0.0025,0.01,24,7966
474,0.01,0.1,0.0025,0.01,25,7920
475,0.01,0.1,0.0025,0.01,26,7946
476,0.01,0.1,0.0025,0.01,27,8030
477,0.01,0.1,0.0025,0.01,28,7930
478,0.01,0.1,0.0025,0.01,29,7992
479,0.01,0.1,0.0025,0.01,30,8078
480,0.01,0.1,0.0025,0.01,31,8030
481,0.01,0.1,0.0025,0.01,32,7970
482,0.01,0.1,0.0025,0.01,33,7916
483,0.01,0.1,0.0025,0.01,34,8036
484,0.01,0.1,0.0025,0.01,35,7918
485,0.01,0.1,0.0025,0.01,36,8064
486,0.01,0.1,0.0025,0.01,37,8022
487,0.01,0.1,0.0025,0.01,38,7990
488,0.01,0.1,0.0025,0.01,39,8000
489,0.01,0.1,0.0025,0.01,40,8064
